Event 1
T. Captura: 12:12:58

0.0,23.47927360021681
0.5,23.734295778183476
1.0,23.47927360021681
1.5,23.86178540995114
2.0,25.899687618757586
2.5,27.67990293124486
3.0,28.949824952547857
3.5,28.949824952547857
4.0,28.822894480685875
4.5,30.09158627229209
5.0,29.837956593006314
5.5,29.964778202156708
6.0,29.964778202156708
6.5,30.21838081867201
7.0,29.330534460699784
7.5,29.45741037871363
8.0,29.964778202156708
8.5,30.21838081867201
9.0,29.45741037871363
9.5,29.964778202156708
10.0,29.584272696570306
